title,type,select1,select2,select3,select4,answer,img,level,date,tag,update
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,객관식,git add,git stash,git push,git commit,git stash,,2,2024-03-17,Software Spring Git,2024-03-31
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,주관식,,,,,정답_Git_2,,0,2024-02-12,Git Spring Database,2024-02-29
데이터베이스의 트랜잭션 ACID 속성 중 'C'는 무엇을 의미하나요?,객관식,일관성,결합성,연결성,확장성,확장성,,2,2024-10-26,Database,2024-11-21
Spring MVC에서 View Resolver의 역할은 무엇인가요?,객관식,View 경로 처리,데이터베이스 연결,Model 생성,JSON 변환,데이터베이스 연결,,1,2024-11-10,Spring Programming Database,2024-12-05
Controller에서 요청을 처리한 결과를 반환하는 방식은 무엇인가요?,객관식,ModelAndView,String,ResponseEntity,JSON,ModelAndView,,2,2024-05-13,Software,2024-05-27
Controller에서 요청을 처리한 결과를 반환하는 방식은 무엇인가요?,객관식,ModelAndView,String,ResponseEntity,JSON,String,,3,2024-03-28,Programming,2024-04-07
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,객관식,git add,git stash,git push,git commit,git add,,3,2024-06-14,Database Spring Programming,2024-07-07
Controller에서 요청을 처리한 결과를 반환하는 방식은 무엇인가요?,주관식,,,,,정답_Spring MVC_8,,3,2024-03-08,Git,2024-03-09
Spring MVC의 주요 구성 요소는 무엇인가요?,객관식,Controller,View,Model,Database,Controller,,3,2024-08-22,Spring Software,2024-08-24
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,객관식,git add,git stash,git push,git commit,git add,,0,2024-07-31,Software,2024-08-30
Spring MVC의 주요 구성 요소는 무엇인가요?,객관식,Controller,View,Model,Database,Controller,,1,2024-05-05,Software,2024-05-28
데이터베이스 정규화의 목적은 무엇인가요?,주관식,,,,,정답_Database_12,,2,2024-11-01,Programming,2024-11-25
Spring MVC에서 View Resolver의 역할은 무엇인가요?,객관식,View 경로 처리,데이터베이스 연결,Model 생성,JSON 변환,데이터베이스 연결,,1,2024-11-24,Git Spring Database,2024-12-19
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,객관식,git add,git stash,git push,git commit,git stash,,3,2024-08-19,Software Database Spring,2024-09-08
Spring MVC에서 View Resolver의 역할은 무엇인가요?,주관식,,,,,정답_Spring MVC_15,,3,2024-03-31,Spring,2024-04-18
Spring MVC에서 View Resolver의 역할은 무엇인가요?,주관식,,,,,정답_Spring MVC_16,,3,2024-06-17,Software,2024-06-21
데이터베이스 정규화의 목적은 무엇인가요?,주관식,,,,,정답_Database_17,,2,2024-02-03,Database Spring,2024-02-19
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,객관식,git add,git stash,git push,git commit,git add,,1,2024-03-11,Database,2024-03-22
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,주관식,,,,,정답_Git_19,,1,2024-02-10,Spring,2024-02-12
Git에서 병합 충돌을 해결하는 방법은 무엇인가요?,주관식,,,,,정답_Git_20,,2,2024-09-17,Programming Spring,2024-10-12
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,객관식,git add,git stash,git push,git commit,git push,,0,2024-05-22,Spring,2024-06-02
Git에서 병합 충돌을 해결하는 방법은 무엇인가요?,객관식,수동 해결,git reset,git checkout,git pull,git reset,,3,2024-03-06,Spring Programming,2024-03-10
Git에서 새로운 브랜치를 생성하는 명령어는 무엇인가요?,객관식,git branch,git checkout,git merge,git commit,git commit,,3,2024-01-28,Programming Software,2024-02-19
데이터베이스의 트랜잭션 ACID 속성 중 'C'는 무엇을 의미하나요?,객관식,일관성,결합성,연결성,확장성,일관성,,3,2024-11-04,Git Database,2024-11-27
Git에서 병합 충돌을 해결하는 방법은 무엇인가요?,주관식,,,,,정답_Git_25,,2,2024-04-20,Git,2024-05-11
Git에서 새로운 브랜치를 생성하는 명령어는 무엇인가요?,객관식,git branch,git checkout,git merge,git commit,git checkout,,1,2024-04-09,Software Programming,2024-04-26
Spring MVC에서 View Resolver의 역할은 무엇인가요?,객관식,View 경로 처리,데이터베이스 연결,Model 생성,JSON 변환,View 경로 처리,,3,2024-05-10,Database Git,2024-06-06
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,주관식,,,,,정답_Git_28,,2,2024-01-03,Software,2024-01-29
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,객관식,git add,git stash,git push,git commit,git push,,2,2024-06-20,Programming,2024-06-23
Controller에서 요청을 처리한 결과를 반환하는 방식은 무엇인가요?,객관식,ModelAndView,String,ResponseEntity,JSON,String,,1,2024-01-05,Spring Database Git,2024-01-16
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,주관식,,,,,정답_Git_31,,3,2024-06-28,Software Spring,2024-07-26
Spring MVC의 주요 구성 요소는 무엇인가요?,주관식,,,,,정답_Spring MVC_32,,1,2024-03-14,Git Database,2024-03-31
Spring MVC의 주요 구성 요소는 무엇인가요?,객관식,Controller,View,Model,Database,Controller,,1,2024-09-28,Spring Git Software,2024-10-22
Spring MVC에서 View Resolver의 역할은 무엇인가요?,객관식,View 경로 처리,데이터베이스 연결,Model 생성,JSON 변환,데이터베이스 연결,,0,2024-06-19,Software Database,2024-07-08
데이터베이스의 트랜잭션 ACID 속성 중 'C'는 무엇을 의미하나요?,주관식,,,,,정답_Database_35,,2,2024-07-24,Software Programming Spring,2024-08-23
데이터베이스 정규화의 목적은 무엇인가요?,주관식,,,,,정답_Database_36,,2,2024-06-09,Programming,2024-07-02
Git에서 새로운 브랜치를 생성하는 명령어는 무엇인가요?,객관식,git branch,git checkout,git merge,git commit,git branch,,3,2024-05-07,Database Spring Software,2024-05-11
데이터베이스 정규화의 목적은 무엇인가요?,객관식,중복 최소화,속도 최적화,데이터 삭제,보안 강화,중복 최소화,,3,2024-06-10,Programming,2024-06-18
Controller에서 요청을 처리한 결과를 반환하는 방식은 무엇인가요?,주관식,,,,,정답_Spring MVC_39,,3,2024-10-12,Git Spring Software,2024-11-09
Controller에서 요청을 처리한 결과를 반환하는 방식은 무엇인가요?,객관식,ModelAndView,String,ResponseEntity,JSON,String,,0,2024-11-13,Programming Software Spring,2024-12-13
Git에서 변경 사항을 로컬 저장소에 저장하는 명령어는 무엇인가요?,주관식,,,,,정답_Git_41,,1,2023-12-23,Software Git Spring,2024-01-05
Spring MVC의 주요 구성 요소는 무엇인가요?,주관식,,,,,정답_Spring MVC_42,,2,2024-01-29,Git Programming,2024-02-01
SQL에서 데이터를 삽입하는 명령어는 무엇인가요?,주관식,,,,,정답_Database_43,,0,2024-07-24,Spring,2024-07-27
Git에서 병합 충돌을 해결하는 방법은 무엇인가요?,객관식,수동 해결,git reset,git checkout,git pull,git pull,,2,2024-03-02,Database,2024-03-06
SQL에서 데이터를 삽입하는 명령어는 무엇인가요?,주관식,,,,,정답_Database_45,,3,2024-03-06,Programming Database,2024-03-15
Git에서 병합 충돌을 해결하는 방법은 무엇인가요?,객관식,수동 해결,git reset,git checkout,git pull,git checkout,,3,2023-12-22,Software,2023-12-24
Git에서 병합 충돌을 해결하는 방법은 무엇인가요?,주관식,,,,,정답_Git_47,,3,2024-05-28,Programming Database,2024-06-17
Spring MVC에서 View Resolver의 역할은 무엇인가요?,객관식,View 경로 처리,데이터베이스 연결,Model 생성,JSON 변환,Model 생성,,2,2024-03-20,Git Programming Database,2024-04-17
Git에서 새로운 브랜치를 생성하는 명령어는 무엇인가요?,주관식,,,,,정답_Git_49,,1,2024-09-28,Spring Git,2024-10-08
데이터베이스의 트랜잭션 ACID 속성 중 'C'는 무엇을 의미하나요?,객관식,일관성,결합성,연결성,확장성,결합성,,1,2024-07-08,Git Spring Programming,2024-07-26